job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,183000,201500
Solutions Architect - Startups,Databricks,"San Francisco, CA",San Francisco,CA,6 days ago,25 applicants,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,220000,325000
"Senior Architect, Data Analytics /AI-ML",Guidewire Software,"San Mateo, CA",San Mateo,CA,1 week ago,177 applicants,"$180,000.00/yr - $210,000.00/yr",Not Applicable,Full-time,"Design, Art/Creative, and Information Technology","Transportation, Logistics, Supply Chain and Storage",180000,210000
Solutions Architect,Sahara AI,"San Francisco, CA",San Francisco,CA,2 months ago,27 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,200000,275000
Data Architect,Highnote,"San Francisco, CA",San Francisco,CA,1 week ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",165000,220000
"Solutions Architect, Data Center Infrastructure",NVIDIA,"Santa Clara, CA",Santa Clara,CA,4 days ago,,"$148,000.00/yr - $276,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",148000,276000
Solutions Architect - Startups,Databricks,"Mountain View, CA",Mountain View,CA,6 days ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,220000,325000
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",Sunnyvale,CA,2 days ago,,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",130000,160000
Solutions Architect,Productiv,"Palo Alto, CA",Palo Alto,CA,1 week ago,45 applicants,"$140,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",140000,160000
Senior Solution Architect,"Arrcus, Inc.","San Jose, CA",San Jose,CA,3 days ago,,"$150,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Computer Networking Products,150000,180000
Data Architect,PayPal,"San Jose, CA",San Jose,CA,1 month ago,64 applicants,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet",130000,160000
Solutions Architect,Productiv,"Palo Alto, CA",Palo Alto,CA,1 week ago,45 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",200000,275000
"Solutions Architect, AI Infrastructure",NVIDIA,"Santa Clara, CA",Santa Clara,CA,3 days ago,,"$148,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Sales,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",148000,230000
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,2 days ago,39 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Information Technology,Information Technology & Services,165000,220000
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,3 weeks ago,103 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering,Data Infrastructure and Analytics,160000,180000
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,2 days ago,39 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology,Information Technology & Services,160000,180000
Data Architect,CriticalRiver Inc.,"Pleasanton, CA",Pleasanton,CA,1 month ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Consulting,"Technology, Information and Media",165000,220000
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",Sunnyvale,CA,2 days ago,,"$139,000.00/yr - $207,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",139000,207000
EPM Platform Architect & Lead,Western Digital,"San Jose, CA",San Jose,CA,6 days ago,,"$121,975.00/yr - $172,800.00/yr",Mid-Senior level,Full-time,Information Technology,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",121975,172800
Data Architect,Radiansys Inc.,"Alameda, CA",Alameda,CA,2 days ago,89 applicants,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Contract,Information Technology,"Technology, Information and Media",150000,200000
IT Solutions Architect,Los Angeles Unified School District,Los Angeles Metropolitan Area,Los Angeles Metropolitan Area,CA,2 weeks ago,42 applicants,"$181,000.00/yr - $225,000.00/yr",Executive,Full-time,Engineering and Information Technology,Education Administration Programs,181000,225000
Data Architect / Data Manager / Product Owner,HireKeyz Inc,"San Diego, CA",San Diego,CA,4 months ago,36 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,165000,220000
"IT Architect, Sr Staff (Data Center Solutions Architect)",Qualcomm,"San Diego, CA",San Diego,CA,3 months ago,25 applicants,"$138,500.00/yr - $207,500.00/yr",Not Applicable,Full-time,Other,Telecommunications,138500,207500
"IT Architect, Sr Staff",Qualcomm,"San Diego, CA",San Diego,CA,1 month ago,32 applicants,"$138,500.00/yr - $207,500.00/yr",Not Applicable,Full-time,Other,Telecommunications,138500,207500
Data Architect (Cleared),"IT Concepts, Inc","San Diego, CA",San Diego,CA,1 week ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",165000,220000
Director Cloud Architecture,"Veracyte, Inc.","San Diego, CA",San Diego,CA,1 day ago,43 applicants,"$180,000.00/yr - $200,000.00/yr",Director,Full-time,Engineering and Information Technology,Biotechnology Research,180000,200000
Data Architect,"Conch Technologies, Inc","San Diego, CA",San Diego,CA,4 months ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,165000,220000
Data Architect,"MedImpact Healthcare Systems, Inc.","San Diego, CA",San Diego,CA,2 days ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care,165000,220000
Principal Enterprise Data Architect,Qualcomm,"San Diego, CA",San Diego,CA,2 months ago,93 applicants,"$168,400.00/yr - $252,600.00/yr",Not Applicable,Full-time,Other,Telecommunications,168400,252600
Cloud Data Solution Architect,Itility,"San Diego, CA",San Diego,CA,1 month ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,165000,220000
Senior Data Architect,Cynet Systems,"San Diego, CA",San Diego,CA,5 months ago,,"$160,000.00/yr - $180,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,160000,180000
Senior Data Platform Architect,DS Technologies Inc,"Santa Monica, CA",Santa Monica,CA,6 days ago,25 applicants,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting,120000,160000
"VP, Enterprise Architecture",Sony Pictures Entertainment,"Culver City, CA",Culver City,CA,,,"$266,000.00/yr - $315,000.00/yr",Executive,Full-time,Engineering and Information Technology,Entertainment Providers,266000,315000
Solutions Architect,Sahara AI,"Los Angeles, CA",Los Angeles,CA,2 months ago,26 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,200000,275000
Data Architect,GOBankingRates,"Los Angeles, CA",Los Angeles,CA,4 months ago,64 applicants,"$220,000.00/yr - $240,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",220000,240000
Solutions Architect - Emerging Enterprise,Databricks,"Los Angeles, CA",Los Angeles,CA,1 week ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,220000,325000
Data Architect,MARSHALL TECHNOLOGIES INC,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,165000,220000
Solutions Architect - Startups,Databricks,"Los Angeles, CA",Los Angeles,CA,6 days ago,30 applicants,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,220000,325000
Senior Data Architect,Electronic Arts (EA),"Marina del Rey, CA",Marina del Rey,CA,2 days ago,,"$142,900.00/yr - $239,700.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","Computer Games, IT Services and IT Consulting, and Software Development",142900,239700
